bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-LTM_run-1_bold	0.002454923076923077	0.004526579948717949	0	17.85275828963917	1.1435851919587632	1.0268460519072162	0.46871106967686876	4346.8974609375	0.14139359457544923	39	20.0	2.1728235	2.072912	2.377576	2.0679825	0.0695236	-0.01930694468319416	0.029352907091379166	195	64	64	30	6.84744977742167	2.0	3.75	3.75	4.0	20.601276305164518	122.83550316029425	539.8345336914062	209.33847045898438	78783.0	117.68769302368165	2354.9687255859358	889.6005249023438	0.4778753125739712	2058.9319781676163	14531.25390625	14583.318359375	17703.0	10983.20927734375	17978.20136718749	2129.684326171875	78.2592333649518
sub-01_task-LTM_run-2_bold	0.002400974358974359	0.005226719076923077	0	19.454573572164943	1.145584849742267	1.0164554376804125	0.46932436394062205	4319.4609375	0.16974860453342722	57	29.23076923076923	2.1862165	2.083032	2.3962	2.0794175	0.0590128	-0.019721994176506996	0.029346976429224014	195	64	64	30	6.816351831401884	2.0	3.75	3.75	4.0	27.815349239948063	119.98433982715706	544.5481567382812	208.2769317626953	78833.0	119.26461944580079	2397.329248046872	920.612548828125	0.4960600924256866	2055.673583350481	14380.9658203125	14427.703125	17730.0	10843.35009765625	17805.41435546875	2116.571533203125	72.61137411440723
sub-01_task-LTM_run-3_bold	0.0020053846153846155	0.004580681384615385	0	19.07031686530927	1.1355492257731954	1.0115162022680422	0.470155976580062	4260.88427734375	0.179924721346018	62	31.794871794871796	2.186116333333333	2.081696	2.3897679999999997	2.086885	0.0380862	-0.019846543669700623	0.030526410788297653	195	64	64	30	6.791455480527267	2.0	3.75	3.75	4.0	27.090087185283583	112.64355740639928	509.9767761230469	194.25128173828125	78842.0	111.00025672912598	2240.108691406249	858.983642578125	0.5058246944542817	1909.1044546554037	13314.794921875	13362.6416015625	17738.0	10049.8763671875	16491.84296875	1967.51123046875	78.20471288403496
sub-01_task-LTM_run-4_bold	0.001764102564102564	0.006678158615384615	0	19.198908235618543	1.0891774100515466	0.9872898682989691	0.4706351953693226	4164.6611328125	0.1928842961175108	71	36.41025641025641	2.190497666666667	2.0834746666666666	2.4045733333333335	2.083445	0.0415961	-0.01981940120458603	0.03037853166460991	195	64	64	30	6.806399453195506	2.0	3.75	3.75	4.0	26.773302608560623	124.89594606431895	546.26513671875	210.6307830810547	78767.0	117.32462005615234	2400.599584960936	913.4034423828125	0.4879209319773201	2033.37880770433	14254.8369140625	14312.3701171875	17753.0	10746.400390625	17645.882812499996	2102.72216796875	65.39923349767923
sub-01_task-LTM_run-5_bold	0.0018965128205128202	0.006015441076923077	0	18.920121247061857	1.1026531735051548	0.9936842980412371	0.4712742528060336	4159.31396484375	0.1708455687046072	59	30.256410256410255	2.1871461666666665	2.075368	2.401728	2.0843425	0.0345069	-0.020316269248723984	0.030765891075134277	195	64	64	30	6.830590971169391	2.0	3.75	3.75	4.0	26.526511022425613	125.63343524617584	558.3510131835938	213.3128204345703	78825.0	119.93846893310547	2450.69443359375	932.8983764648438	0.46112012292775395	2055.2138897915206	14472.4306640625	14525.974609375	17741.0	10910.7236328125	17890.73828125	2126.5458984375	69.90400096110534
sub-01_task-LTM_run-6_bold	0.0033737435897435897	0.004908462512820512	0	18.479389623505153	1.14192688670103	1.035661486958763	0.47159710963900414	4119.5205078125	0.17934721582318758	60	30.76923076923077	2.1656437777777775	2.0578106666666667	2.3796106666666663	2.05951	0.065092	-0.020383218303322792	0.03090389259159565	195	64	64	30	6.795052678729639	2.0	3.75	3.75	4.0	26.486352540865383	125.31410431942847	548.9948120117188	210.04103088378906	78803.0	116.73333740234375	2413.550878906248	917.2579956054688	0.5104700580196693	2018.3775952180638	14160.8486328125	14217.47265625	17731.0	10648.6953125	17516.9365234375	2092.26806640625	73.86298224842176
sub-02_task-LTM_run-1_bold	0.001138974358974359	0.004805245897435898	0	19.91617804051545	1.1553002917010318	0.9790170143814436	0.43575016541197087	5122.6845703125	0.1356894682362729	29	14.871794871794872	2.042298722222222	1.9684213333333331	2.208597333333333	1.9498775	0.0666777	-0.022651242092251778	0.023845160380005836	195	64	64	30	7.3571753055269395	2.0	3.75	3.75	4.0	36.57255455932818	125.86532938131975	462.8664855957031	200.3000030517578	81962.0	101.09744262695312	1698.8038818359348	788.8693237304688	0.9494108383429598	1956.9885971080662	14967.1611328125	15027.40234375	15324.0	11605.431201171876	18209.43486328125	2042.48388671875	77.90017516259104
sub-02_task-LTM_run-2_bold	0.001303641025641026	0.005421532923076924	0	20.20026190716495	1.1499134834020623	0.9839200852577317	0.43667226116750785	5013.31201171875	0.14428615514275686	40	20.512820512820515	2.0480887777777776	1.9650026666666667	2.2312186666666665	1.948045	0.0514719	-0.022915875539183617	0.02422742359340191	195	64	64	30	7.2290456706972	2.0	3.75	3.75	4.0	36.18431935159245	126.80810273037139	464.1562805175781	200.09231567382812	81948.0	102.95051727294923	1702.2705261230446	787.4329223632812	1.0462918057021842	1955.5827311371982	14829.009765625	14881.30078125	15342.0	11470.495068359376	18104.824316406248	2058.475830078125	73.72875656746328
sub-02_task-LTM_run-3_bold	0.0019520103092783507	0.006172114175257733	1	21.310641441968908	1.1604051688601043	0.9868937639378235	0.4379660062934971	4883.3095703125	0.1750277328345141	60	30.927835051546392	2.0615209444444447	1.9730266666666667	2.242338666666667	1.9691975	0.259473	-0.023639148101210594	0.02599434368312359	194	64	64	30	7.240940240704871	2.0	3.75	3.75	4.0	35.46878350015398	116.86574207437165	427.565185546875	183.773193359375	81965.0	95.79999694824218	1560.7689941406256	718.2557373046875	0.7367057696396602	1797.8463066302716	13479.322265625	13518.4482421875	15357.0	10424.334765625	16463.941796875	1866.8857421875	59.66054161544889
sub-02_task-LTM_run-4_bold	0.002396974358974359	0.0056920987179487174	0	20.359310567835042	1.1706358568556705	0.9847587785567011	0.4385140457385478	4883.82568359375	0.16422607889080987	46	23.58974358974359	2.0626639444444446	1.9843653333333333	2.233984	1.9696425	0.394472	-0.023942692205309868	0.026819657534360886	195	64	64	30	7.311328173668964	2.0	3.75	3.75	4.0	35.207411926512265	122.42493482590477	444.16363525390625	189.90257263183594	81961.0	94.51795196533203	1619.0770263671875	746.7432250976562	0.7505678410187748	1835.0735217105607	13918.6337890625	13970.072265625	15341.0	10758.7333984375	16943.662109375	1910.68115234375	52.86992493271828
